Rank,TC Number,Railway Company,Region,Province,Access,Jurisdiction,Mile,Subdivision,Spur Mile Point,Spur Name,Location,Latitude,Longitude,Road  Authority,Protection,Accidents,Fatality,Injury,Trains Daily,Vehicles Daily,Train Max Speed (mph),Road Speed (km/h),Lanes,Tracks,IsUrban
1927,862,Canadian National Railway,ONT,ON,Public,F,275.63,Bala - CN,-,-,Young St (Capreol),46.7073,-80.924,Greater Sudbury (ON),Active - FLBG,0,0,0,21.86,2400,20,50,2,1,Y
2038,20562,Canadian Pacific Railway,ONT,ON,Public,F,90.57,Cartier - CP,-,-,Regional Road 15,46.5807,-81.1822,Greater Sudbury (ON),Active - FLBG,0,0,0,9,5100,75,80,2,1,N
2126,35550,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,2,Sudbury,Auger Avenue,46.52,-80.9329,Greater Sudbury (ON),Active - FLB,0,0,0,6,7000,10,50,2,1,Y
2323,30174,Huron Central Railway,ONT,ON,Public,P,8.96,Webbwood - HCRC,-,-,Regional Road 24,46.4205,-81.14,Greater Sudbury (ON),Active - FLB,0,0,0,6,2500,40,80,2,1,N
2424,26131,Canadian Pacific Railway,ONT,ON,Public,F,79.7,Cartier - CP,0.82,Nickel,Beatty St,46.4985,-81.0071,Greater Sudbury (ON),Active - FLB,0,0,0,2,30000,10,50,2,1,Y
2776,20535,Canadian Pacific Railway,ONT,ON,Public,F,69.2,Cartier - CP,5.45,Falconbridge,Happy Valley Rd,46.5634,-80.8032,Greater Sudbury (ON),Passive,0,0,0,20,200,10,80,2,1,N
2794,30166,Canadian Pacific Railway,ONT,ON,Public,F,79.17,Cartier - CP,1.5,Webbwood,Martindale Road,46.4772,-81.0177,Greater Sudbury (ON),Active - FLBG,0,0,0,2,20000,10,50,2,1,N
2852,20534,Canadian Pacific Railway,ONT,ON,Public,F,69.2,Cartier - CP,3.28,Falconbridge,Town Line Rd,46.5367,-80.8173,Greater Sudbury (ON),Passive,0,0,0,19,200,10,80,2,1,N
3011,30183,Huron Central Railway,ONT,ON,Public,P,28.08,Webbwood - HCRC,-,-,Regional Rd 3 Or 5?,46.3753,-81.509,Greater Sudbury (ON),Active - FLB,0,0,0,6,1000,40,80,2,1,N
3097,300754,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,1.35,Sudbury,Falconbridge Rd.,46.5209,-80.9194,Greater Sudbury (ON),Active - FLB,0,0,0,6,10000,10,60,2,1,N
